id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento,fecha_nacimiento_dt,motivo_rechazo
36,Marta Hernández Gómez,marta.hernandez.gomez1@seguro.sv,Mujer,03-08-1969,,Pyme,,"fecha_nacimiento_invalida, ciudad_nula"
37,María Reyes Flores,maria.reyes.flores2@seguro.sv,Hombre,1969-01-01,,Pyme,,"fecha_nacimiento_invalida, ciudad_nula"
38,Juan Ramírez Mendoza,juan.ramirez.mendoza3@seguro.sv,Hombre,15-06-1972,San Salvador,Regular,,fecha_nacimiento_invalida
39,Fernanda Pérez Castillo,fernanda.perez.castillo4@seguro.sv,Hombre,1979-04-22,,Premium,,"fecha_nacimiento_invalida, ciudad_nula"
40,Carlos Ortiz López,carlos.ortiz.lopez5@correo.com,Hombre,18-07-1989,San Salvador,Pyme,,fecha_nacimiento_invalida
41,Carlos Mendoza Flores,carlos.mendoza.flores6@seguro.sv,Hombre,10-04-1977,,Pyme,,"fecha_nacimiento_invalida, ciudad_nula"
42,Sofía Torres Mendoza,sofia.torres.mendoza0@mail.com,Mujer,14-12-2006,San Miguel,Regular,,fecha_nacimiento_invalida
43,Ana Castillo Castillo,ana.castillo.castillo1@seguro.sv,Mujer,27-08-1992,,Regular,,"fecha_nacimiento_invalida, ciudad_nula"
44,Marta Ortiz Ortiz,marta.ortiz.ortiz2@example.com,Hombre,03/11/1973,,Premium,,"fecha_nacimiento_invalida, ciudad_nula"
45,Andrés Martínez Reyes,andres.martinez.reyes3@seguro.sv,,23/10/2006,La Libertad,Premium,,"genero_invalido, fecha_nacimiento_invalida"
48,Fernanda Morales Reyes,fernanda.morales.reyes6@seguro.sv,Hombre,1996-03-25,,Premium,,"fecha_nacimiento_invalida, ciudad_nula"
49,Carlos Cruz García,carlos.cruz.garcia0@mail.com,,07/12/1978,San Miguel,VIP,,"genero_invalido, fecha_nacimiento_invalida"
51,Carmen Gómez García,carmen.gomez.garcia2@gmail.com,Hombre,05/09/1994,La Libertad,Premium,,fecha_nacimiento_invalida
52,Diego Chávez Flores,diego.chavez.flores3@mail.com,,03-25-81,,VIP,,"genero_invalido, fecha_nacimiento_invalida, ciudad_nula"
53,Paula Vásquez Santos,paula.vasquez.santos4@seguro.sv,Mujer,02-11-1966,San Miguel,Pyme,,fecha_nacimiento_invalida
54,Ricardo Hernández Cruz,ricardo.hernandez.cruz5@gmail.com,Mujer,03-19-74,San Salvador,Regular,,fecha_nacimiento_invalida
56,Karla Flores Pérez,karla.flores.perez0@mail.com,Mujer,12-05-1996,San Salvador,Regular,,fecha_nacimiento_invalida
57,Luis García Castillo,luis.garcia.castillo1@correo.com,Hombre,23/04/1969,Sonsonate,,,"fecha_nacimiento_invalida, segmento_nulo"
58,Daniela Flores Gómez,daniela.flores.gomez2@seguro.sv,Mujer,01-20-63,San Salvador,VIP,,fecha_nacimiento_invalida
59,Luis Cruz Morales,luis.cruz.morales3@mail.com,,2012-03-07,San Miguel,VIP,,"genero_invalido, fecha_nacimiento_invalida"
60,Paula Vásquez Flores,paula.vasquez.flores4@example.com,Hombre,10/06/1992,La Libertad,,,"fecha_nacimiento_invalida, segmento_nulo"
61,Fernanda Reyes Torres,fernanda.reyes.torres5@seguro.sv,Mujer,10-11-1959,San Salvador,VIP,,fecha_nacimiento_invalida
62,Juan Castillo Aguilar,juan.castillo.aguilar6@gmail.com,Mujer,02-06-1950,La Libertad,,,"fecha_nacimiento_invalida, segmento_nulo"
63,Andrés Santos Pérez,andres.santos.perez0@seguro.sv,Mujer,21-03-1977,San Miguel,Regular,,fecha_nacimiento_invalida
64,Sofía Chávez Chávez,sofia.chavez.chavez1@mail.com,Hombre,03-07-61,Sonsonate,VIP,,fecha_nacimiento_invalida
65,Lucía Flores Ramírez,lucia.flores.ramirez2@seguro.sv,Hombre,16/12/1950,,VIP,,"fecha_nacimiento_invalida, ciudad_nula"
66,Marta Cruz Pérez,marta.cruz.perez3@mail.com,Hombre,08/08/2010,,Premium,,"fecha_nacimiento_invalida, ciudad_nula"
68,Ana Pérez López,ana.perez.lopez5@correo.com,Mujer,02-20-72,San Salvador,Regular,,fecha_nacimiento_invalida
69,Juan Pérez Rojas,juan.perez.rojas6@mail.com,,13-03-1987,San Miguel,,,"genero_invalido, fecha_nacimiento_invalida, segmento_nulo"
71,Juan Aguilar Morales,juan.aguilar.morales1@seguro.sv,,1978-03-30,San Salvador,,,"genero_invalido, fecha_nacimiento_invalida, segmento_nulo"
72,Luis García Pérez,luis.garcia.perez2@gmail.com,Hombre,09-02-64,La Libertad,,,"fecha_nacimiento_invalida, segmento_nulo"
74,Diego Rojas Reyes,diego.rojas.reyes4@mail.com,Mujer,07-09-1980,San Miguel,Regular,,fecha_nacimiento_invalida
75,Luis Aguilar García,luis.aguilar.garcia5@mail.com,,1948-03-08,San Miguel,,,"genero_invalido, fecha_nacimiento_invalida, segmento_nulo"
76,Juan Santos Ortiz,juan.santos.ortiz6@mail.com,,05-23-90,La Libertad,Regular,,"genero_invalido, fecha_nacimiento_invalida"
77,Karla Castillo Vásquez,karla.castillo.vasquez0@correo.com,Mujer,17-04-1949,Santa Ana,Regular,,fecha_nacimiento_invalida
78,Fernanda Vásquez Hernández,fernanda.vasquez.hernandez1@correo.com,,2008/06/01,,,2008-06-01,"genero_invalido, ciudad_nula, segmento_nulo"
79,Ana Torres Flores,ana.torres.flores2@example.com,Mujer,08-06-42,San Salvador,Premium,,fecha_nacimiento_invalida
82,Carmen Torres Martínez,carmen.torres.martinez5@seguro.sv,Hombre,18-06-2000,La Libertad,Pyme,,fecha_nacimiento_invalida
83,Andrés Flores Ramírez,andres.flores.ramirez6@example.com,,2007-09-23,San Miguel,Pyme,,"genero_invalido, fecha_nacimiento_invalida"
84,Daniela Castillo Martínez,daniela.castillo.martinez0@gmail.com,Mujer,1959-10-13,Santa Ana,Premium,,fecha_nacimiento_invalida
85,Luis Flores Castillo,luis.flores.castillo1@seguro.sv,,08/06/1969,Santa Ana,,,"genero_invalido, fecha_nacimiento_invalida, segmento_nulo"
86,Diego Mendoza Ortiz,diego.mendoza.ortiz2@mail.com,,1999-12-07,La Libertad,Pyme,,"genero_invalido, fecha_nacimiento_invalida"
87,María Reyes Santos,maria.reyes.santos3@seguro.sv,Mujer,1978-07-06,La Libertad,Regular,,fecha_nacimiento_invalida
88,Carmen Torres Chávez,carmen.torres.chavez4@mail.com,,2001-11-13,Santa Ana,,,"genero_invalido, fecha_nacimiento_invalida, segmento_nulo"
89,Lucía Mendoza García,lucia.mendoza.garcia5@example.com,Hombre,07-04-75,Santa Ana,,,"fecha_nacimiento_invalida, segmento_nulo"
90,José Mendoza Mendoza,jose.mendoza.mendoza6@example.com,Mujer,24/05/1957,Santa Ana,Premium,,fecha_nacimiento_invalida
91,Valeria Ramírez Gómez,valeria.ramirez.gomez0@mail.com,Mujer,16-01-1994,La Libertad,,,"fecha_nacimiento_invalida, segmento_nulo"
92,Paula Santos Torres,paula.santos.torres1@example.com,Mujer,29-12-1968,San Salvador,Pyme,,fecha_nacimiento_invalida
93,Carlos Flores Santos,carlos.flores.santos2@mail.com,Mujer,14-01-1945,La Libertad,VIP,,fecha_nacimiento_invalida
94,Pedro Castillo García,pedro.castillo.garcia3@mail.com,Mujer,1997/11/01,,Pyme,1997-11-01,ciudad_nula
95,Jorge Ortiz Martínez,jorge.ortiz.martinez4@gmail.com,Hombre,06/05/1980,San Miguel,Pyme,,fecha_nacimiento_invalida
97,Paula Chávez Mendoza,paula.chavez.mendoza6@example.com,Mujer,11-24-86,La Libertad,Regular,,fecha_nacimiento_invalida
98,Karla Martínez Reyes,karla.martinez.reyes0@gmail.com,Hombre,29-11-1945,San Miguel,,,"fecha_nacimiento_invalida, segmento_nulo"
99,Luis Reyes García,luis.reyes.garcia1@example.com,Mujer,12-04-1992,Santa Ana,VIP,,fecha_nacimiento_invalida
100,Carlos Ortiz Morales,carlos.ortiz.morales2@correo.com,Hombre,1997/09/23,San Salvador,,1997-09-23,segmento_nulo
101,Pedro López Vásquez,pedro.lopez.vasquez3@correo.com,Mujer,16-09-1967,Santa Ana,Premium,,fecha_nacimiento_invalida
102,Luis García Castillo,luis.garcia.castillo4@gmail.com,Hombre,2010-09-15,San Miguel,Premium,,fecha_nacimiento_invalida
103,Karla Morales Pérez,karla.morales.perez5@gmail.com,Mujer,22-07-1954,San Salvador,Regular,,fecha_nacimiento_invalida
105,Sofía Vásquez Santos,sofia.vasquez.santos0@example.com,,1979/07/12,,Premium,1979-07-12,"genero_invalido, ciudad_nula"
107,Carlos García Gómez,carlos.garcia.gomez2@gmail.com,Mujer,21-06-1964,San Salvador,Pyme,,fecha_nacimiento_invalida
108,Pedro López Rojas,pedro.lopez.rojas3@example.com,Hombre,11-10-1944,San Salvador,Premium,,fecha_nacimiento_invalida
109,Ana Reyes Hernández,ana.reyes.hernandez4@correo.com,Mujer,2004-02-13,San Miguel,Premium,,fecha_nacimiento_invalida
110,Ricardo Chávez Torres,ricardo.chavez.torres5@mail.com,Mujer,21/06/1940,Santa Ana,,,"fecha_nacimiento_invalida, segmento_nulo"
111,Daniela Rojas Hernández,daniela.rojas.hernandez6@example.com,Hombre,2009-08-19,Santa Ana,,,"fecha_nacimiento_invalida, segmento_nulo"
112,Paula García Hernández,paula.garcia.hernandez0@mail.com,Hombre,1984/11/03,,Premium,1984-11-03,ciudad_nula
113,Carlos Rojas López,carlos.rojas.lopez1@gmail.com,,27/02/1995,San Salvador,Regular,,"genero_invalido, fecha_nacimiento_invalida"
114,María Mendoza Ortiz,maria.mendoza.ortiz2@gmail.com,Hombre,1985-07-07,La Libertad,VIP,,fecha_nacimiento_invalida
115,Lucía Vásquez Flores,lucia.vasquez.flores3@mail.com,Mujer,17/01/2007,San Salvador,Regular,,fecha_nacimiento_invalida
116,Luis Martínez Vásquez,luis.martinez.vasquez4@correo.com,Hombre,25-12-1988,La Libertad,Premium,,fecha_nacimiento_invalida
117,María Chávez Martínez,maria.chavez.martinez5@correo.com,Mujer,04-29-66,San Miguel,Pyme,,fecha_nacimiento_invalida
118,Fernanda Aguilar Flores,fernanda.aguilar.flores6@correo.com,Mujer,04-14-43,San Salvador,Regular,,fecha_nacimiento_invalida
119,José Vásquez Rojas,jose.vasquez.rojas0@seguro.sv,Mujer,20/11/1975,La Libertad,Regular,,fecha_nacimiento_invalida
120,Daniela Flores García,daniela.flores.garcia1@seguro.sv,Mujer,25/03/2005,Sonsonate,Regular,,fecha_nacimiento_invalida
121,José García Reyes,jose.garcia.reyes2@seguro.sv,Mujer,18-04-1999,Santa Ana,Regular,,fecha_nacimiento_invalida
122,Paula Martínez Vásquez,paula.martinez.vasquez3@example.com,Hombre,1995-02-28,San Salvador,Regular,,fecha_nacimiento_invalida
123,Daniela Gómez López,daniela.gomez.lopez4@seguro.sv,Mujer,22/10/1952,San Salvador,Regular,,fecha_nacimiento_invalida
124,Pedro Morales Santos,pedro.morales.santos5@seguro.sv,Mujer,11-27-42,La Libertad,,,"fecha_nacimiento_invalida, segmento_nulo"
125,Luis Mendoza Vásquez,luis.mendoza.vasquez6@example.com,Hombre,1975-09-16,San Salvador,Pyme,,fecha_nacimiento_invalida
126,Daniela Morales Ortiz,daniela.morales.ortiz0@example.com,,25/07/1950,Sonsonate,Pyme,,"genero_invalido, fecha_nacimiento_invalida"
127,Sofía Hernández Pérez,sofia.hernandez.perez1@seguro.sv,Hombre,08-23-46,San Miguel,,,"fecha_nacimiento_invalida, segmento_nulo"
129,Luis Cruz Aguilar,luis.cruz.aguilar3@gmail.com,Mujer,11-05-1942,,,,"fecha_nacimiento_invalida, ciudad_nula, segmento_nulo"
130,María García Castillo,maria.garcia.castillo4@seguro.sv,Hombre,20-09-1975,La Libertad,VIP,,fecha_nacimiento_invalida
131,Luis Reyes García,luis.reyes.garcia5@gmail.com,Mujer,14/05/1980,,Premium,,"fecha_nacimiento_invalida, ciudad_nula"
132,Luis Rojas Mendoza,luis.rojas.mendoza6@gmail.com,Mujer,12-20-44,Santa Ana,Regular,,fecha_nacimiento_invalida
134,Karla Ortiz García,karla.ortiz.garcia1@gmail.com,Mujer,01/02/1985,Santa Ana,,,"fecha_nacimiento_invalida, segmento_nulo"
135,Marta Santos Martínez,marta.santos.martinez2@gmail.com,Mujer,18/07/1942,,,,"fecha_nacimiento_invalida, ciudad_nula, segmento_nulo"
136,Ana Aguilar Ortiz,ana.aguilar.ortiz3@example.com,,26/12/1965,La Libertad,Pyme,,"genero_invalido, fecha_nacimiento_invalida"
137,María Martínez Gómez,maria.martinez.gomez4@seguro.sv,Hombre,06-09-79,,Regular,,"fecha_nacimiento_invalida, ciudad_nula"
138,Marta Vásquez Morales,marta.vasquez.morales5@gmail.com,Hombre,1951-09-24,San Miguel,Pyme,,fecha_nacimiento_invalida
139,José Flores Chávez,jose.flores.chavez6@mail.com,Mujer,29-03-1962,,Premium,,"fecha_nacimiento_invalida, ciudad_nula"
140,Carmen Reyes Santos,carmen.reyes.santos0@correo.com,,2004/09/10,La Libertad,Regular,2004-09-10,genero_invalido
142,Carlos Aguilar Torres,carlos.aguilar.torres2@example.com,Hombre,1998-09-11,San Salvador,Premium,,fecha_nacimiento_invalida
143,Valeria Vásquez Morales,valeria.vasquez.morales3@mail.com,Mujer,1972/10/30,Santa Ana,,1972-10-30,segmento_nulo
144,Carlos García Morales,carlos.garcia.morales4@gmail.com,Mujer,1985/03/28,,Premium,1985-03-28,ciudad_nula
145,José Morales Vásquez,jose.morales.vasquez5@gmail.com,Mujer,25/04/2011,Santa Ana,,,"fecha_nacimiento_invalida, segmento_nulo"
146,Lucía Mendoza Martínez,lucia.mendoza.martinez6@example.com,,1944/01/24,La Libertad,,1944-01-24,"genero_invalido, segmento_nulo"
147,Daniela Pérez Reyes,daniela.perez.reyes0@seguro.sv,Mujer,01-01-95,Sonsonate,,,"fecha_nacimiento_invalida, segmento_nulo"
148,Daniela Ortiz Aguilar,daniela.ortiz.aguilar1@seguro.sv,Mujer,08-01-03,San Miguel,Pyme,,fecha_nacimiento_invalida
149,Jorge Castillo López,jorge.castillo.lopez2@gmail.com,Mujer,20/07/1993,San Salvador,Pyme,,fecha_nacimiento_invalida
150,Carmen Mendoza Torres,carmen.mendoza.torres3@correo.com,Hombre,29/06/2009,San Salvador,VIP,,fecha_nacimiento_invalida
151,Sofía López Chávez,sofia.lopez.chavez4@seguro.sv,Hombre,22-02-1968,,Pyme,,"fecha_nacimiento_invalida, ciudad_nula"
152,Juan Pérez Mendoza,juan.perez.mendoza5@seguro.sv,Hombre,08-08-1958,San Miguel,Pyme,,fecha_nacimiento_invalida
153,Fernanda Reyes Ortiz,fernanda.reyes.ortiz6@example.com,Mujer,14-10-1971,Santa Ana,Regular,,fecha_nacimiento_invalida
154,Fernanda Castillo Cruz,fernanda.castillo.cruz0@correo.com,,09-13-66,La Libertad,,,"genero_invalido, fecha_nacimiento_invalida, segmento_nulo"
155,Valeria Castillo Hernández,valeria.castillo.hernandez1@seguro.sv,,06-13-91,Santa Ana,VIP,,"genero_invalido, fecha_nacimiento_invalida"
156,Carlos García Vásquez,carlos.garcia.vasquez2@seguro.sv,Hombre,08/09/1979,Sonsonate,,,"fecha_nacimiento_invalida, segmento_nulo"
157,Valeria Pérez Hernández,valeria.perez.hernandez3@correo.com,Hombre,1995-03-27,,Premium,,"fecha_nacimiento_invalida, ciudad_nula"
158,Juan Hernández Rojas,juan.hernandez.rojas4@mail.com,Hombre,19/08/1969,San Salvador,Premium,,fecha_nacimiento_invalida
159,Andrés Aguilar Aguilar,andres.aguilar.aguilar5@example.com,Mujer,05-12-98,San Salvador,,,"fecha_nacimiento_invalida, segmento_nulo"
160,Diego Ortiz Martínez,diego.ortiz.martinez6@correo.com,Mujer,15-09-1955,La Libertad,Regular,,fecha_nacimiento_invalida
161,Juan López Castillo,juan.lopez.castillo0@example.com,Mujer,14-12-1990,,Pyme,,"fecha_nacimiento_invalida, ciudad_nula"
162,Luis Mendoza Chávez,luis.mendoza.chavez1@mail.com,Mujer,23/06/1964,La Libertad,Premium,,fecha_nacimiento_invalida
163,Ana Reyes Castillo,ana.reyes.castillo2@correo.com,Mujer,1990/12/09,La Libertad,,1990-12-09,segmento_nulo
164,Marta García Morales,marta.garcia.morales3@correo.com,,01-16-00,Santa Ana,Regular,,"genero_invalido, fecha_nacimiento_invalida"
165,Lucía Cruz Chávez,lucia.cruz.chavez4@example.com,Mujer,2007/08/16,,Regular,2007-08-16,ciudad_nula
166,Pedro Cruz Martínez,pedro.cruz.martinez5@example.com,Mujer,29-11-1999,Sonsonate,VIP,,fecha_nacimiento_invalida
167,Carlos Vásquez Torres,carlos.vasquez.torres6@correo.com,,24/10/1959,La Libertad,Regular,,"genero_invalido, fecha_nacimiento_invalida"
169,Daniela Vásquez García,daniela.vasquez.garcia1@gmail.com,Hombre,12/08/1990,,Premium,,"fecha_nacimiento_invalida, ciudad_nula"
170,Carmen Reyes Mendoza,carmen.reyes.mendoza2@correo.com,Mujer,22-08-1979,San Salvador,Pyme,,fecha_nacimiento_invalida
172,Lucía Flores López,lucia.flores.lopez4@mail.com,Mujer,28-11-2006,San Miguel,,,"fecha_nacimiento_invalida, segmento_nulo"
173,Juan García Aguilar,juan.garcia.aguilar5@correo.com,Mujer,05-11-1942,San Miguel,Pyme,,fecha_nacimiento_invalida
174,Lucía Morales García,lucia.morales.garcia6@gmail.com,Mujer,04-01-01,San Salvador,,,"fecha_nacimiento_invalida, segmento_nulo"
175,Lucía Mendoza Pérez,lucia.mendoza.perez0@mail.com,Mujer,04-19-05,La Libertad,Pyme,,fecha_nacimiento_invalida
176,Fernanda Morales Cruz,fernanda.morales.cruz1@correo.com,Mujer,16/03/1962,San Salvador,Pyme,,fecha_nacimiento_invalida
177,Karla López Cruz,karla.lopez.cruz2@gmail.com,Mujer,27-06-1958,,Premium,,"fecha_nacimiento_invalida, ciudad_nula"
178,Juan Morales Chávez,juan.morales.chavez3@mail.com,Mujer,1961/01/08,San Miguel,,1961-01-08,segmento_nulo
179,Marta Santos Torres,marta.santos.torres4@example.com,Hombre,04-22-09,Santa Ana,Premium,,fecha_nacimiento_invalida
180,Andrés Castillo Flores,andres.castillo.flores5@gmail.com,Mujer,20-06-1945,,VIP,,"fecha_nacimiento_invalida, ciudad_nula"
181,Pedro Morales Mendoza,pedro.morales.mendoza6@seguro.sv,Mujer,08-05-68,La Libertad,,,"fecha_nacimiento_invalida, segmento_nulo"
182,Ricardo Cruz Cruz,ricardo.cruz.cruz0@correo.com,,1966-12-24,,Pyme,,"genero_invalido, fecha_nacimiento_invalida, ciudad_nula"
183,Fernanda Mendoza Pérez,fernanda.mendoza.perez1@correo.com,Mujer,1974-11-05,La Libertad,VIP,,fecha_nacimiento_invalida
184,Fernanda Ramírez Martínez,fernanda.ramirez.martinez2@gmail.com,Mujer,1964-01-31,San Salvador,,,"fecha_nacimiento_invalida, segmento_nulo"
185,Fernanda Ramírez Aguilar,fernanda.ramirez.aguilar3@example.com,Mujer,1958-09-27,Santa Ana,VIP,,fecha_nacimiento_invalida
186,Ricardo Cruz Torres,ricardo.cruz.torres4@correo.com,Hombre,02-20-03,San Miguel,Pyme,,fecha_nacimiento_invalida
187,Fernanda Vásquez Castillo,fernanda.vasquez.castillo5@seguro.sv,,1963-06-19,La Libertad,Premium,,"genero_invalido, fecha_nacimiento_invalida"
188,Pedro Reyes Rojas,pedro.reyes.rojas6@correo.com,Mujer,1944-02-07,San Miguel,,,"fecha_nacimiento_invalida, segmento_nulo"
189,Jorge Rojas Castillo,jorge.rojas.castillo0@correo.com,,1953/09/03,Santa Ana,,1953-09-03,"genero_invalido, segmento_nulo"
190,Marta Flores Aguilar,marta.flores.aguilar1@seguro.sv,,29/11/2004,San Miguel,Premium,,"genero_invalido, fecha_nacimiento_invalida"
191,Fernanda Aguilar Gómez,fernanda.aguilar.gomez2@mail.com,Hombre,1988-08-20,San Salvador,VIP,,fecha_nacimiento_invalida
194,Daniela Flores Ortiz,daniela.flores.ortiz5@seguro.sv,Mujer,1965-09-20,San Salvador,Premium,,fecha_nacimiento_invalida
195,Diego Ramírez Torres,diego.ramirez.torres6@example.com,Mujer,25-03-1987,San Salvador,Pyme,,fecha_nacimiento_invalida
196,Paula Santos Cruz,paula.santos.cruz0@mail.com,Hombre,2002-07-21,San Salvador,Pyme,,fecha_nacimiento_invalida
197,Lucía Ortiz Aguilar,lucia.ortiz.aguilar1@correo.com,Hombre,12-01-1945,La Libertad,,,"fecha_nacimiento_invalida, segmento_nulo"
198,José Mendoza Martínez,jose.mendoza.martinez2@gmail.com,,08-11-60,San Salvador,Regular,,"genero_invalido, fecha_nacimiento_invalida"
199,Fernanda Santos Martínez,fernanda.santos.martinez3@example.com,Mujer,03/02/1956,,Pyme,,"fecha_nacimiento_invalida, ciudad_nula"
201,María Mendoza Vásquez,maria.mendoza.vasquez5@correo.com,Hombre,10-25-44,,,,"fecha_nacimiento_invalida, ciudad_nula, segmento_nulo"
202,Lucía Reyes López,lucia.reyes.lopez6@seguro.sv,,20/11/1996,San Miguel,Pyme,,"genero_invalido, fecha_nacimiento_invalida"
203,Andrés Gómez Santos,andres.gomez.santos0@gmail.com,Mujer,09/04/1999,San Salvador,Regular,,fecha_nacimiento_invalida
204,Luis Morales Pérez,luis.morales.perez1@example.com,Hombre,2006-05-11,San Salvador,Pyme,,fecha_nacimiento_invalida
205,Pedro Flores Hernández,pedro.flores.hernandez2@seguro.sv,,1951/11/20,,Pyme,1951-11-20,"genero_invalido, ciudad_nula"
206,José López García,jose.lopez.garcia3@gmail.com,Mujer,10-02-71,La Libertad,Regular,,fecha_nacimiento_invalida
208,Luis Flores Castillo,luis.flores.castillo5@mail.com,Mujer,30-01-1964,San Miguel,Regular,,fecha_nacimiento_invalida
210,Luis Castillo López,luis.castillo.lopez0@gmail.com,,07-02-75,La Libertad,Pyme,,"genero_invalido, fecha_nacimiento_invalida"
211,Karla Pérez Castillo,karla.perez.castillo1@correo.com,,10-07-68,Santa Ana,Regular,,"genero_invalido, fecha_nacimiento_invalida"
212,Carlos Aguilar Santos,carlos.aguilar.santos2@seguro.sv,Mujer,25-02-2010,San Miguel,,,"fecha_nacimiento_invalida, segmento_nulo"
213,Sofía Santos Ortiz,sofia.santos.ortiz3@gmail.com,Mujer,21-02-1956,Santa Ana,Regular,,fecha_nacimiento_invalida
214,María Rojas Aguilar,maria.rojas.aguilar4@correo.com,Mujer,26/06/1952,La Libertad,VIP,,fecha_nacimiento_invalida
215,Paula Torres Aguilar,paula.torres.aguilar5@gmail.com,,1992/03/26,San Salvador,,1992-03-26,"genero_invalido, segmento_nulo"
217,Marta Rojas Hernández,marta.rojas.hernandez0@correo.com,Hombre,1940/12/11,,,1940-12-11,"ciudad_nula, segmento_nulo"
218,Diego Chávez Vásquez,diego.chavez.vasquez1@gmail.com,Hombre,02/02/1975,San Miguel,Pyme,,fecha_nacimiento_invalida
219,José Castillo Rojas,jose.castillo.rojas2@correo.com,Mujer,09-14-47,San Miguel,Premium,,fecha_nacimiento_invalida
220,Daniela Aguilar Vásquez,daniela.aguilar.vasquez3@seguro.sv,Mujer,1982-09-19,San Miguel,VIP,,fecha_nacimiento_invalida
